fur_id,Balance
FUR14670987074,7211.3
FUR14671030022,184.19
FUR14671113200,887.7
FUR14671838395,5894.69
FUR14671878455,47.99
FUR14671987543,1125
FUR14672195030,132
FUR14672629110,11150
FUR14673149996,13463.23
FUR14673596021,10304.08
FUR14673613113,185.29
FUR14673859708,5355.51
FUR14674560339,2
FUR14677184730,124.88
FUR14678154789,1394.72
FUR14678827566,9
FUR14680496704,18249.29
FUR14681078809,3915.08
FUR14681567666,139.8
FUR14682257488,78.3
FUR14682935078,3353
FUR14684357796,13558.59
FUR14684933828,704.18
FUR14684965112,10565
FUR14685810044,532
FUR14685841398,1410.32
FUR14686023288,92.39
FUR14686745333,58.61
FUR14687379700,5940.79
FUR14687395352,5529.22
FUR14690194243,14905.2
FUR14690955687,523.4
FUR14692091737,64.39
FUR14692541871,65.95
FUR14693491133,309.12
FUR14693610609,996
FUR14693743942,898.12
FUR14693772748,20392
FUR14694325469,1545.76
FUR14694544830,21
FUR14695376366,17.38
FUR14697175648,3.64
FUR14697761595,1500.31
FUR14697767284,11498
FUR14698442133,2983
FUR14698717457,13558.2
FUR14700637759,4345.65
FUR14700765528,1580.02
FUR14701365226,42.48
FUR14702278252,14244
FUR14702416114,1238
FUR14705667610,311.52
FUR14706613511,385
FUR14708369009,131.72
FUR14709820360,90.12
FUR14711972041,261.11
FUR14712485181,5890
FUR14712532651,450.18
FUR14712648549,426.92
FUR14712769588,64.41
FUR14713271087,1162.3
FUR14713615521,118.97
FUR14714268625,85.47
FUR14715334376,213.51
FUR14715715357,46.07
FUR14717773278,86.44
FUR14717932816,2902.54
FUR14718580356,8720
FUR14719451279,55.85
FUR14719489526,110.16
FUR14721889188,4304.12
FUR14722197390,2774.52
FUR14722848585,2497.82
FUR14723781625,6496
FUR14724179575,124.22
FUR14725432698,556.96
FUR14725732595,4774
FUR14726497500,8507.08
FUR14726594214,1245
FUR14727310396,4084.4
FUR14727539385,138.37
FUR14727879936,1740
FUR14729737047,499.95
FUR14730977424,150.23
FUR14734038492,1410
FUR14734840038,7838
FUR14734980722,3876.66
FUR14735221710,1286
FUR14736459907,8.94
FUR14736823349,50.05
FUR14737039293,21214.75
FUR14738492900,744.58
FUR14738530110,568.34
FUR14738760590,67.26
FUR14739375225,23
FUR14739610436,2242.04
FUR14740441913,4270
FUR14741937947,20.54
FUR14742912719,6530
FUR14743024854,233.31
FUR14745214525,3101.75
FUR14745647278,1725.78
FUR14746676856,33.76
FUR14747355938,7630
FUR14747955099,671.55
FUR14748155056,8
FUR14749755087,14998
FUR14750672078,3533.69
FUR14750752131,12653.08
FUR14752369558,1991.76
FUR14752440827,19.94
FUR14752564097,11547
FUR14753118023,2160.48
FUR14753138979,65.37
FUR14753173515,2074
FUR14753293951,656
FUR14753848160,284.38
FUR14753979663,924.65
FUR14754222229,3009
FUR14754240516,453.73
FUR14754866246,2762.9
FUR14755091130,10400
FUR14755657516,5441
FUR14756567866,1840.18
FUR14757647628,338.31
FUR14757684463,178.77
FUR14758524237,1734.82
FUR14758621796,250.48
FUR14759865853,6097.14
FUR14760021886,1.1
FUR14762034904,1148.81
FUR14762053012,361.8
FUR14764484369,19205.08
FUR14766035894,10650
FUR14766098722,2
FUR14766137104,36.34
FUR14766226309,185.92
FUR14766236926,9364
FUR14766491663,750.68
FUR14766616668,289
FUR14767053357,188.34
FUR14767880847,74.9
FUR14768524357,94.82
FUR14768578370,1649.74
FUR14768613912,1.99
FUR14769434783,374.26
FUR14769854748,161.2
FUR14771227071,327.83
FUR14771260163,63
FUR14772035536,56.04
