FurID,ZeroTo30,ThirtyOneToSixty,SixtyOneToNinety,NinetyOneToOneTwenty,OneTwentyOneToOneEighty,MoreThanOneEighty
FUR14670987074,1638.9618033,1243.67,1185.56,0.0,0.0,3143.1081967000005
FUR14671030022,0.0,0.0,0.0,0.0,0.0,184.19
FUR14671113200,0.0,0.0,0.0,0.0,0.0,887.7
FUR14671838395,0.0,0.0,0.0,0.0,0.0,5894.69
FUR14671878455,0.0,0.0,0.0,0.0,0.0,47.99
FUR14671987543,0.0,0.0,0.0,0.0,0.0,1125.0
FUR14672195030,0.0,0.0,0.0,0.0,0.0,132.0
FUR14672629110,0.0,0.0,0.0,0.0,0.0,11150.0
FUR14673149996,0.0,0.0,0.0,0.0,0.0,13463.23
FUR14673596021,0.0,0.0,0.0,0.0,0.0,10304.08
FUR14673613113,0.0,0.0,0.0,0.0,0.0,185.29
FUR14673859708,0.0,0.0,656.56,4698.950000000001,0.0,0.0
FUR14674560339,0.0,0.0,0.0,0.0,0.0,2.0
FUR14677184730,0.0,0.0,0.0,0.0,0.0,124.88
FUR14678154789,1394.72,0.0,0.0,0.0,0.0,0.0
FUR14678827566,0.0,0.0,0.0,0.0,0.0,9.0
FUR14680496704,0.0,4297.9800000000005,2148.9900000000002,2148.9900000000002,2342.4,7310.93
FUR14681078809,0.0,0.0,0.0,0.0,0.0,3915.08
FUR14681567666,0.0,0.0,0.0,0.0,0.0,139.8
FUR14682257488,0.0,0.0,0.0,0.0,0.0,78.3
FUR14682935078,0.0,0.0,0.0,0.0,3353.0,0.0
FUR14684357796,0.0,0.0,0.0,0.0,0.0,13558.59
FUR14684933828,704.18,0.0,0.0,0.0,0.0,0.0
FUR14684965112,0.0,0.0,0.0,0.0,0.0,10565.0
FUR14685810044,0.0,0.0,0.0,0.0,0.0,532.0
FUR14685841398,1410.32,0.0,0.0,0.0,0.0,0.0
FUR14686023288,0.0,0.0,0.0,0.0,0.0,92.39
FUR14686745333,0.0,0.0,0.0,0.0,0.0,58.61
FUR14687379700,0.0,0.0,0.0,0.0,0.0,5940.79
FUR14687395352,0.0,0.0,0.0,0.0,0.0,5529.22
FUR14690194243,0.0,0.0,866.12,866.12,866.12,12306.84
FUR14690955687,0.0,0.0,0.0,0.0,0.0,523.4
FUR14692091737,0.0,0.0,0.0,0.0,0.0,64.39
FUR14692541871,0.0,0.0,0.0,0.0,0.0,65.95
FUR14693491133,0.0,0.0,0.0,0.0,0.0,309.12
FUR14693610609,0.0,0.0,0.0,0.0,0.0,996.0
